Band	Timecode	Sprecher	Transkript	Übersetzung	Hauptüberschrift	Zwischenüberschrift	Hauptüberschrift (Übersetzung)	Zwischenüberschrift (Übersetzung)	Registerverknüpfungen	Anmerkungen	Anmerkungen (Übersetzung)
1	00:00:11.00	IV	[Beginn Band 1]		Schule, Freizeit: Sport, Musik, Familie				87580903#87580942#87580893		
1	00:00:13.00	IV	Die Reihenfolge, in der Sie erzählen möchten, von sich aus ist eigentlich gleich, aber sinnvoll ist es oft, wenn man bei der Kindheit anfängt.								
1	00:00:27.00	IV	Und wenn Sie sich so an ihre Kindheit zurückerinnern, was fällt Ihnen da alles ein, so spontan?								
1	00:00:37.00	HH	Also als Jugendjahre noch?								
1	00:00:39.00	IV	Bitte?								
1	00:00:40.00	HH	Als Kind, die Jahre noch?								
1	00:00:45.00	IV	Tja …								
1	00:00:48.00	HH	Ich war (ein großer Haudegen ?) …								
1	00:00:53.00	HH	Früher konnte man ja überall jede Ecke bald Fußballspielen, was wir eben heute nicht mehr können.								
1	00:01:00.00	HH	Wir hatten (gewohnt ?) in Essen Westen, Holsterhausen, da hatten wir noch vier freie Plätze …								
1	00:01:13.00	HH	schön. [Stühlerücken]								
1	00:01:17.00	HH	Meistens war das so früher, irgendein Kind in der Familie musste ein Musikinstrument spielen oder so, also ich musste Geige lernen.								
1	00:01:31.00	HH	Ich habe so viel Pech gehabt im ersten Schuljahr nach den Ferien hatte ich ein (???) nachgelaufen bin gegen eine Schulbank gehauen und das Bein verletzt, das wollten sie mir nach sechs Wochen abnehmen, aber ich hab's heute noch …								
1	00:01:51.00	IV	Ja ….								
1	00:01:53.00	HH	… soweit wieder hergekriegt, gezaubert, dass ich mein Bein behalten hab.								
1	00:02:01.00	HH	Ja …, Schule, Volksschule, höhere Schule, dann Handelsschule,								
1	00:02:15.00	IV	Hm.								
1	00:02:17.00	HH	Dann kam auch schon der Beruf …								
1	00:02:21.00	HH	32, '33 war ja die schlechte Zeit …								
1	00:02:24.00	IV	Ja.								
1	00:02:25.00	HH	… wenig Lehrstellen …								
1	00:02:28.00	HH	wir wurden damals von der Handelsschule mit zwei Schülern zur Telegrafenunion geschickt …								
1	00:02:33.00	HH	das war ein Nachrichtendienst…								
1	00:02:34.00	HH	früher gab‘s ja zwei Nachrichtendienste, Volkstelegrafenbüro und Telegrafenbüro.								
1	00:02:38.00	IV	Mm								
1	00:02:38.00	HH	… und Telegrafenunion …		Gewerbe, Krieg, Front, Länder, Nationalitäten				87580929#87580896#87580902		
1	00:02:40.00	HH	Volkstelegrafenbüro war jüdisch, Telegrafenunion war Hugenberg, deutschnational,								
1	00:02:46.00	IV	Mm								
1	00:02:47.00	HH	ja, dann fing ich '33 bei Telegrafenunion an als Volontär morgens zur Schule noch bis 12 Uhr, ab 12 Uhr dann bis abends dort gearbeitet.								
1	00:03:02.00	IV	“ Hier in Essen?								
1	00:03:02.00	HH	Hier in Essen.								
1	00:03:03.00	IV	Mm.								
1	00:03:04.00	HH	Zweigstelle Essen war das ja dann.								
1	00:03:06.00	IV	Mm.								
1	00:03:08.00	HH	Tja dann, als die Nationalsozialisten kamen, wurden die Nachrichtenbüros aufgelöst, kam das Deutsche Nachrichtenbüro, weiter auch in Essen …								
1	00:03:19.00	IV	Mm								
1	00:03:21.00	HH	39 kam ich vom Deutschen Nachrichtenbüro nach Kattowitz, '40 auch, '41 nach Luxemburg, '42, '43 in Danzig …								
1	00:03:35.00	IV	Immer bei Telegrafenbüros?								
1	00:03:36.00	HH	Ja immer, ja immer so Deutschen Nachrichtendienst, so Deutschen Nachrichtenbüro war das.								
1	00:03:39.00	IV	Ja.								
1	00:03:41.00	HH	ja und dann von Danzig aus nach Stettin.								
1	00:03:47.00	HH	Stettin, da hatte ich nen doppelten Schädelbasisbruch, nach …								
1	00:03:52.00	HH	hinterher kam ich wieder hierher nach Essen …								
1	00:03:55.00	HH	kurz vor Kriegsende war ich hier in Essen …								
1	00:03:58.00	HH	den letzten großen Bombenangriff, den habe ich noch in Sachsenhaus, da wo jetzt die Welt (???) wieder mitgemacht …								
1	00:04:03.00	IV	Mm.								
1	00:04:05.00	HH	tja tja dann blieb ich aber in Essen, bin nicht mehr weggegangen.								
1	00:04:10.00	HH	Ich sollte nach Braunschweig.								
1	00:04:12.00	HH	Hat meine Frau gesagt, da sollen sie alleine hingehen, bin ich hiergeblieben …								
1	00:04:18.00	HH	tja nach dem Zusammenbruch holten mich die Engländer zu der ersten Tageszeitung wieder nach Essen, die Ruhrzeitung war das ja, d.h. der Oppenberg, der jetzt hier Verlagsleiter von der neuen Ruhrzeitung,								
1	00:04:33.00	IV	mm		Ausbildung, Lehre, Presse, Literatur, Sorgen				87580913#87580927#87580940		
1	00:04:33.00	HH	der holte mich.								
1	00:04:35.00	HH	Ja dann war ich bei den Engländern, ging von hier, von Ruhrzeitung, die ging nachher, wurde nach Dortmund verlegt …								
1	00:04:43.00	HH	Nach Dortmund ging's …								
1	00:04:45.00	HH	war dann da praktisch so Chef vom Dienst für die Nachrichtenzentrale Dortmund, bis das aufgelöst wurde, war ich hier fünf Jahre bei Essener Allgemeinen Zeitung, die wurde auch verkauft.								
1	00:05:02.00	IV	Hm, die ist dann zur (???) gekommen, oder?								
1	00:05:06.00	HH	Ja, die wurde so unter, nicht gerade, nicht schönen Umständen verkauft, denn es war gerade Wahltag, Landtagswahlen, wir mussten bis 10 Uhr noch arbeiten, dann kam der Doktor (???), der rief unseren Hauptschriftleiter an und sagte:								
1	00:05:22.00	HH	„Holen Sie die Herrn zusammen, ich habe was Wichtiges zu sagen.“ …								
1	00:05:25.00	HH	Das wichtige war, also er hat die Zeitung verkauft, Ihr könnt nach Hause gehen, kriegt ein Vierteljahr noch Gehalt, aus.								
1	00:05:31.00	IV	[erstaunt] ha …								
1	00:05:31.00	HH	Das war 5 Minuten …,								
1	00:05:35.00	HH	ja								
1	00:05:37.00	IV	Das war wann, wenn ich fragen darf?								
1	00:05:39.00	HH	Das war neunzehnhundert…, … wann war das, äh, jetzt muss ich mal schnell zurückrechnen.								
1	00:05:50.00	HH	Wann war die Fußballweltmeisterschaft?								
1	00:05:51.00	IV	Vierundfünfzig.								
1	00:05:52.00	HH	Bitte?								
1	00:05:53.00	IV	Vierundfünfzig.								
1	00:05:53.00	HH	Vierundfünfzig, da war das.								
1	00:05:55.00	IV	Ah ja.								
1	00:05:55.00	HH	Als der Rahn das Tor geschossen hat.								
1	00:05:56.00	IV	[lacht zustimmend] Ja.								
1	00:05:57.00	HH	Dann bin ich hinterher, da war doch das Fernsehen noch schlecht, da haben wir noch, äh sonntags uns da getroffen, wir hatten uns nen Fernsehkasten besorgt, und da hatten wir noch. äh, das Fußballspiel zugesehen.								
1	00:06:10.00	HH	Ja, dann habe ich … kurzfristig draußen gestanden, meinen Beruf gewechselt.								
1	00:06:17.00	IV	Hm.								
1	00:06:19.00	HH	Ich bin Einkäufer geworden, in Maschinenfabrik.		Arbeit, Verwaltung, Wohnen, Geld				87580909#87580898#87580901		
1	00:06:22.00	IV	Bei Krupp, oder wo?								
1	00:06:24.00	HH	Ja, das war ich nachher, vorher nicht. Erst war ich, äh, kam auch durch Zufall, meine Schwester sagt, wir suchen Einkäufer, sag ich, mach ich … und ... das war bei Schulze-Naumann, noch von Fronhauserstraße, wo jetzt AEG ist.								
1	00:06:37.00	IV	Ach da, mmm.								
1	00:06:40.00	HH	Der Chef steckt …								
1	00:06:42.00	HH	Herr Naumann rief mich dann auch an, (???), „Wissen Sie überhaupt was 'ne Mutter ist?“, ich sag ja, ich kenne die Schwiegermutter, meine eigene Mutter ...								
1	00:06:49.00	IV	[lacht]								
1	00:06:50.00	HH	Der meint natürlich Schrauben und so.								
1	00:06:51.00	IV	[lacht]								
1	00:06:53.00	HH	Habe ich keine Ahnung von.								
1	00:06:56.00	HH	Da sagt er, wissen Sie was, wir machen mal einen Versuch, ein halbes Jahr schmeiß ich Sie ins Wasser, entweder Sie schaffen es oder Sie schaffen es nicht.								
1	00:07:02.00	IV	Ja.								
1	00:07:03.00	HH	Zwei Jahre später hatte ich schon Handlungsvollmacht da.								
1	00:07:07.00	HH	Ja, und da war ich zehn Jahre, dann wurde ich viermal verkauft, es war ja, der kam aus der Ostzone, und hat sich angesiedelt, kein Eigenkapital, und unsere Maschinen wurden immer größer die kosteten nachher ein paar Millionen Mark, da baute man mit dem Geld von den Anzahlungen von den An… von den früheren Maschinen.								
1	00:07:26.00	HH	Früher war es ja so im Maschinenbau üblich, Drittel, Drittel, Drittel, nicht?								
1	00:07:29.00	HH	Bei Anzahlung 30 % mittendrin und zum Schluss bei Ablieferung auch wieder (???).								
1	00:07:34.00	HH	Das war nachher ja nicht mehr die Vorfinanzierung, kam dann ja so in Mode, und da konnten wir unsere Maschinen nicht so herstellen, kein Eigenkapital, nix.								
1	00:07:45.00	HH	Die Maschinen hatte die Fabrik verkauft, und dann bin ich auch wieder durch Zufall nach Krupp gekommen, der Direktor von Krupp, der kam, guckte sich die Sachen hier an, weil das (bekannt ?) war, dass ich die Maschinen verkaufte.								
1	00:08:01.00	HH	Da sagt er „Was machen Sie denn?“, „Gar nichts“, „Sie fangen bei uns an“ sagt er.								
1	00:08:05.00	HH	Habe ich bei Krupp angefangen.								
1	00:08:07.00	IV	Das war wann?								
1	00:08:08.00	IV	1964, war das?								
1	00:08:09.00	HH	64, ja das …								
1	00:08:10.00	HH	ne, das war schon später, warten Sie, .. '								
1	00:08:12.00	HH	54								
1	00:08:13.00	HH	Das muss '66 gewesen sein denn ich bin ich bin jetzt ein Jahr pensioniert, und war 15 Jahre bei Krupp.		Arbeit, Verwaltung, NS, Ausbildung, Lehre				87580909#87580918#87580913		
1	00:08:19.00	IV	66 war auch Fußballweltmeisterschaft.								
1	00:08:20.00	HH	Ja, ja.								
1	00:08:22.00	IV	[lacht]								
